RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
12,KR,Hyon-Ho Oh,31,D,7,0,0,0,4,-7,0,0,0,0,0,0,2018,0,0,0,1
13,KR,Yeong Jun Seo,23,D,7,0,0,0,4,-5,0,0,0,0,0,0,2018,0,0,0,1
14,KR,Woo-Sang Park,32,F,7,0,0,0,4,-9,0,0,0,0,0,0,2018,0,0,0,1
15,KR,Sang Hoon Shin,24,F,7,0,0,0,2,-7,0,0,0,0,0,0,2018,0,0,0,1
16,KR,Sang Woo Shin,30,F,7,0,0,0,0,-7,0,0,0,0,0,0,2018,0,0,0,1
17,KR,Bryan Young,31,D,6,0,0,0,12,-7,0,0,0,0,0,0,2018,0,0,0,1
18,KR,Young-Jun Lee,27,F,6,0,0,0,0,-5,0,0,0,0,0,0,2018,0,0,0,1
19,KR,Jin Kyu Park,26,F,6,0,0,0,6,-5,0,0,0,0,0,0,2018,0,0,0,1
20,KR,Jung Woo Jeon,23,F,5,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
21,KR,Min Ho Cho,31,F,4,0,0,0,0,-3,0,0,0,0,0,0,2018,0,0,0,1
22,KR,Chong Hyun Lee,21,F,4,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
23,KR,Sung-Je Park,29,G,2,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
24,KR,Hyeong Cheol Song,22,D,2,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
1,CH,Nino Niederreiter,25,F,10,4,5,9,10,6,2,0,0,0.4,0.5,0.9,2018,0,1,0,0
2,CH,Enzo Corvi,25,F,10,4,5,9,6,2,0,0,2,0.4,0.5,0.9,2018,0,1,0,0
3,CH,Sven Andrighetto,25,F,9,2,7,9,27,-1,0,0,0,0.222,0.778,1,2018,0,1,0,0
4,CH,Gregory Hofmann,25,F,10,4,3,7,2,0,2,0,1,0.4,0.3,0.7,2018,0,1,0,0
5,CH,Ramon Untersander,27,D,10,3,4,7,0,-3,2,0,0,0.3,0.4,0.7,2018,0,1,0,0
6,CH,Timo Meier,21,F,7,2,5,7,2,1,2,0,0,0.286,0.714,1,2018,0,1,0,0
7,CH,Joel Vermin,26,F,10,3,3,6,0,0,0,0,1,0.3,0.3,0.6,2018,0,1,0,0
8,CH,Raphael Diaz,32,D,10,1,5,6,8,4,0,0,0,0.1,0.5,0.6,2018,0,1,0,0
9,CH,Mirco Müller,23,D,10,1,5,6,8,9,0,1,0,0.1,0.5,0.6,2018,0,1,0,0
10,CH,Gaetan Haas,26,F,10,3,2,5,0,2,2,0,1,0.3,0.2,0.5,2018,0,1,0,0
11,CH,Kevin Fiala,21,F,5,1,4,5,6,2,0,0,0,0.2,0.8,1,2018,0,1,0,0
12,CH,Simon Moser,29,F,10,2,2,4,4,3,0,1,0,0.2,0.2,0.4,2018,0,1,0,0
13,CH,Tristan Scherwey,26,F,10,2,2,4,2,0,0,0,1,0.2,0.2,0.4,2018,0,1,0,0
14,CH,Dean Kukan,24,D,10,1,2,3,0,0,1,0,0,0.1,0.2,0.3,2018,0,1,0,0
15,CH,Roman Josi,27,D,5,0,3,3,4,2,0,0,0,0,0.6,0.6,2018,0,1,0,0
16,CH,Michael Fora,22,D,10,0,1,1,4,-1,0,0,0,0,0.1,0.1,2018,0,1,0,0
17,CH,Reto Schäppi,27,F,10,0,0,0,4,-1,0,0,0,0,0,0,2018,0,1,0,0
18,CH,Lukas Frick,23,D,10,0,0,0,0,-1,0,0,0,0,0,0,2018,0,1,0,0
